reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26
evreg2,1.La2_abs#1.rice_area_aclvl_ahigh,-46.51691595125862,122.8774302807586,-6.485129442092902,-7.548544571135155,-8.738790788751551,-7.938364218156869,-10.30552397487555,-17.44116775248533,-6.413113777908598,-21.79278166122333,-9.842380931157024,-8.162083791150257,-7.317762250284371,-5.610650981002227,28.17567322435002,30.66690589176155,32.02583442122934,31.62811540370462,39.1373302229181,43.63682791769688,28.4421040790107,90.14030912737984,43.10137696692472,32.23097948554474,31.08928638878193,27.87278601842951,-4.031041521721867,.0048054723996381
evreg2,1.La3_abs#1.rice_area_aclvl_ahigh,-24.41232240810746,122.8774302807586,-5.418354556995293,-6.210428129221434,-6.647082013862821,-6.655443198537589,-8.3843241244714,-15.60573319426907,-4.625803157508253,-9.811028243355871,-9.734544124595029,-7.812889132346015,-7.218803302555859,-6.030199832872831,24.37920076016407,25.81683478037133,26.17099266889832,27.79446914603701,33.35554036314517,45.18821076053121,21.66119962348091,43.10137696692472,48.39208609625447,32.10216260045304,32.1495069921485,31.77288743395978,-10.75354636141803,.0101420565189537
evreg2,1.La4_abs#1.rice_area_aclvl_ahigh,-17.79167368324526,122.8774302807586,-5.495340056979749,-6.168525161468468,-6.647009236920628,-6.506851805482713,-7.856257167391356,-15.84098943328669,-3.995111193793621,-8.176293871634927,-7.892677843977836,-9.491151075491496,-8.600499392355156,-6.656340244201683,20.8930767540233,22.33523388669526,24.12637901829983,25.37260695560935,28.21104448844594,41.93562158426708,16.91851477270712,32.23097948554474,32.10216260045304,34.32673675484791,33.31290667541903,29.63310062164966,-5.034132953645946,.0140951923597731
evreg2,1.La5_abs#1.rice_area_aclvl_ahigh,-10.54145122752031,122.8774302807586,-5.131093025297614,-6.568225774127626,-7.242130809581263,-6.634798345241284,-7.826667868006106,-13.50562494141447,-4.302805057014649,-7.310256225982872,-7.281640570951078,-8.565624882587741,-17.93692682302331,-10.89010858953131,20.97681285652081,24.75361169829267,26.56436230921548,27.350909503365,29.34251443565989,40.57955854328042,16.5498626093126,31.08928638878193,32.1495069921485,33.31290667541903,57.69939680451088,41.42625673047106,-9.552511454607661,.0197064126393005
evreg2,1.La6_abs#1.rice_area_aclvl_ahigh,-9.222707189777383,122.8774302807586,-4.853554336880684,-5.449713840744227,-6.226579154642575,-6.443135689350606,-6.588364799442979,-10.97532573845691,-2.987580657400295,-5.428171140328897,-5.87771971717678,-6.347181785536144,-10.5797195410192,-16.84376144716666,22.16944138783789,23.79385239397361,24.29665518478753,27.4318074245674,27.42154036366695,34.67039567447239,14.16048804590654,27.87278601842951,31.77288743395978,29.63310062164966,41.42625673047106,70.57574403436786,-29.57964751362623,.0092149577450139
evreg2,av_wind_speed,6.856192589374714,122.8774302807586,-6.24891925184334,-4.368386507967855,-7.742445995166556,-4.276256844965694,-3.226343152029541,-18.91199505176499,-3.554375518900369,-12.44635467074863,-9.048861885526909,-9.729646361746282,-6.000288225153166,-6.640902696074326,-4.265995291024005,-5.697096871543482,-1.836103923415902,-6.778317372331061,-8.631228975451124,-9.187008393699459,3.557405254540051,-4.031041521721867,-10.75354636141803,-5.034132953645946,-9.552511454607661,-29.57964751362623,284.5104698304857,-.060775548843509
evreg2,wind_direction,-.0735783485417752,122.8774302807586,.0008871985905271,-.0028388289867155,.0070181817415133,.0119412059267447,.0104026290931145,.0244583813621131,.0116099178297519,.0166079731053067,.0065668744841394,.0009945996850571,.0047457739307994,.0040140085655348,.0069904895671645,.0132845442645074,.0059012084098162,.0002353407645993,.0040943128978806,-.0056030794311778,.0080068917478494,.0048054723996381,.0101420565189537,.0140951923597731,.0197064126393005,.0092149577450139,-.060775548843509,.0019731628921889
evreg3,Le1_abs,1.41380610352857,122.8774302807586,4.533931483583883,3.409942522511289,3.454238411700846,3.137959434983995,3.802026433000859,8.435191130375328,2.387773745057574,4.912801002115106,3.90907106218047,3.844596551698021,3.221007071432738,3.053987648258791,-4.551552797838037,-3.429513802722003,-3.46352720651383,-3.162739747794975,-3.845706827636142,-8.492904945781861,-2.378279227021124,-4.904329202624108,-3.887510485164972,-3.808388012639619,-3.175866725732756,-3.009668705303266,-4.01531817223589,-.0009317920341709
evreg3,Le2_abs,1.834203350065311,122.8774302807586,3.409942522511289,5.502296378342302,4.522399297405953,3.527234678187736,4.123736061520104,8.75770378344286,2.645002156368046,5.479897085667578,4.315672537747743,4.27919080661072,4.434662596945106,3.40675068953513,-3.455873276718508,-5.546421783662312,-4.55347160765225,-3.574211130960825,-4.192546665298482,-8.89860908329001,-2.639354454081472,-5.518501946657988,-4.343663411098334,-4.279507823283114,-4.420518547325726,-3.401654638949246,-3.225331221005546,-.0053386655246491
evreg3,Le3_abs,-3.408891149931382,122.8774302807586,3.454238411700846,4.522399297405953,8.479567284286249,4.890536951622649,5.321316241833793,10.91458702615989,3.055750675225188,6.754003744291431,4.789348879050738,4.878122247743779,5.183717053455392,4.472818229966152,-3.535099165589914,-4.600120310530996,-8.526455412059489,-4.974743359571939,-5.458954906634601,-11.18059100667033,-3.040478329598637,-6.810987468666877,-4.822815565954635,-4.857203398144437,-5.130828744253559,-4.438344688260322,-7.669473086954604,.0017447823691485
