fe_id,control_sample,version,period,estimate,se,lower,upper
20,both,rotated,pre,0.550808094868364,9.09500910390214,-17.2754097487798,18.3770259385166
20,both,rotated,post,80.237979971142,54.2045188935382,-26.0028770601929,186.478837002477
21,both,original,pre,52.4021708615154,34.1453593311202,-14.5227334274802,119.327075150511
21,both,original,post,74.6765057759273,46.5230096667397,-16.5085931708825,165.861604722737
21,both,rotated,pre,11.3110650344565,8.87304965515226,-6.08011228964194,28.7022423585549
21,both,rotated,post,90.0856704610743,54.1625168675924,-16.0728625994068,196.244203521555
22,both,original,pre,52.4021841832586,34.1476850368324,-14.5272784889328,119.33164685545
22,both,original,post,74.6764996507812,46.5262565023345,-16.5149630937944,165.867962395357
22,both,rotated,pre,11.3110662498258,8.87365248272305,-6.08129261631139,28.703425115963
22,both,rotated,post,90.0856688758185,54.1662466802251,-16.0801746174227,196.25151236906
